points_1	points_2	points_3	points_4	points_5	points_6	relevant	visits	analysis	stratum	weight
1	5	7	0	1	0	14	551	97	Heide en duin	0.00967
25	51	39	26	20	18	179	7807	97	Landbouw	0.90736
2	10	9	7	6	4	38	1927	97	Moeras en water	0.0231
1	6	4	4	0	0	15	556	97	Suburbaan	0.01446
9	8	3	1	0	0	21	547	97	Urbaan	0.03485
1	7	2	2	0	0	12	527	98	Bos	0.00797
0	11	6	14	6	9	46	2348	98	Heide en duin	0.0387
6	39	37	29	29	22	162	8617	98	Landbouw	0.92896
1	6	6	1	4	0	18	753	98	Moeras en water	0.01238
1	3	5	2	1	0	12	391	98	Suburbaan	0.012
4	0	0	0	0	0	4	85	99	Bos	0.00537
2	4	2	1	0	2	11	459	99	Heide en duin	0.02271
11	15	12	8	9	5	60	2802	99	Landbouw	0.92859
0	4	3	4	4	2	17	980	99	Moeras en water	0.03156
1	1	0	2	1	0	5	147	99	Suburbaan	0.01178
0	3	5	0	0	1	9	395	100	Bos	0.01116
4	2	3	1	1	1	12	451	100	Heide en duin	0.01728
6	33	25	13	5	2	84	3686	100	Landbouw	0.89945
1	3	3	3	2	1	13	742	100	Moeras en water	0.0167
1	1	0	5	2	1	10	511	100	Suburbaan	0.02037
1	4	2	3	0	1	11	558	100	Urbaan	0.03505
1	3	3	2	0	0	9	374	101	Heide en duin	0.04415
1	9	3	3	4	1	21	973	101	Landbouw	0.79
1	5	7	9	6	4	32	1737	101	Moeras en water	0.14438
2	0	1	0	1	0	4	150	101	Suburbaan	0.02147
0	1	5	7	27	113	153	11313	102	Bos	0.04624
1	6	8	12	19	34	80	5183	102	Heide en duin	0.03064
4	27	48	53	68	112	312	19806	102	Landbouw	0.81458
0	2	9	8	13	27	59	3947	102	Moeras en water	0.01847
0	7	2	6	13	26	54	3247	102	Suburbaan	0.02682
0	2	3	9	14	46	74	5211	102	Urbaan	0.06325
2	7	7	3	1	1	21	1002	103	Bos	0.83518
2	1	0	1	0	0	4	139	103	Moeras en water	0.16482
16	42	50	25	22	11	166	8003	104	Landbouw	0.99784
1	3	0	0	0	0	4	108	104	Moeras en water	0.00216
4	4	0	1	0	0	9	291	105	Bos	0.07612
3	4	5	0	2	1	15	561	105	Heide en duin	0.18089
4	3	1	0	0	0	8	199	105	Landbouw	0.57539
5	4	2	3	0	3	17	754	105	Moeras en water	0.1676
0	1	4	3	3	3	14	477	106	Heide en duin	0.68159
1	3	2	2	0	1	9	293	106	Moeras en water	0.31841
