points_1	points_2	points_3	points_4	points_5	points_6	relevant	visits	analysis	stratum	weight
2	4	12	11	24	95	148	10396	10	Bos	0.10451
3	5	7	10	14	15	54	3377	10	Heide en duin	0.04833
10	35	22	23	19	12	121	5816	10	Landbouw	0.73811
1	4	5	8	9	8	35	2100	10	Moeras en water	0.02561
2	5	3	4	7	1	22	1018	10	Suburbaan	0.02553
6	11	5	3	4	0	29	1072	10	Urbaan	0.05791
2	3	6	0	2	2	15	742	11	Bos	0.01565
4	10	3	2	1	0	20	723	11	Heide en duin	0.02833
6	25	23	24	11	4	93	4602	11	Landbouw	0.89798
0	7	6	5	10	6	34	1887	11	Moeras en water	0.03937
2	2	2	0	0	0	6	214	11	Suburbaan	0.00918
1	2	1	0	0	0	4	96	11	Urbaan	0.00948
2	8	6	9	7	12	44	2861	12	Bos	0.01441
1	6	4	14	5	12	42	2566	12	Heide en duin	0.01743
3	15	23	51	59	179	330	22693	12	Landbouw	0.93364
0	7	5	4	7	19	42	2802	12	Moeras en water	0.01425
3	2	3	4	5	1	18	750	12	Suburbaan	0.00915
2	4	5	0	1	0	12	438	12	Urbaan	0.01111
2	4	6	2	1	1	16	416	13	Bos	0.00524
1	10	7	4	5	2	29	930	13	Heide en duin	0.01203
2	30	56	54	77	117	336	13706	13	Landbouw	0.9504
1	5	11	7	2	5	31	1022	13	Moeras en water	0.01052
2	6	3	3	0	0	14	246	13	Suburbaan	0.007
3	4	2	4	2	1	16	449	13	Urbaan	0.01482
0	0	2	1	14	144	161	11995	14	Bos	0.04229
0	1	9	9	15	47	81	5549	14	Heide en duin	0.02696
4	6	16	20	41	281	368	26605	14	Landbouw	0.83501
1	1	1	8	8	42	61	4435	14	Moeras en water	0.0166
0	2	5	2	5	42	56	3679	14	Suburbaan	0.02417
1	2	4	6	10	51	74	5116	14	Urbaan	0.05497
3	2	1	2	0	0	8	269	15	Heide en duin	0.12796
1	3	1	0	0	0	5	110	15	Landbouw	0.49842
6	6	4	1	5	3	25	1157	15	Moeras en water	0.37362
5	8	4	12	4	13	46	2642	16	Landbouw	0.96966
2	2	4	2	1	1	12	536	16	Moeras en water	0.03034
0	4	1	2	3	2	12	621	17	Bos	0.02914
1	3	4	2	4	1	15	816	17	Heide en duin	0.04617
5	11	7	4	4	9	40	2267	17	Landbouw	0.83914
4	4	6	5	8	7	34	1852	17	Moeras en water	0.08555
1	0	0	2	0	1	4	252	18	Heide en duin	0.01851
0	2	3	2	7	6	20	1329	18	Landbouw	0.84104
1	0	2	1	1	4	9	565	18	Moeras en water	0.04539
1	0	2	0	0	3	6	432	18	Suburbaan	0.04
1	0	2	0	1	1	5	261	18	Urbaan	0.05506
4	7	6	1	1	1	20	873	19	Bos	0.02175
6	6	5	5	1	2	25	896	19	Heide en duin	0.03446
12	22	26	11	12	6	89	3844	19	Landbouw	0.83625
2	7	14	10	7	15	55	3107	19	Moeras en water	0.06198
1	3	5	1	1	0	11	354	19	Suburbaan	0.01787
5	4	1	0	0	0	10	185	19	Urbaan	0.02768
3	6	2	3	6	11	31	1976	20	Bos	0.36072
0	1	1	2	2	0	6	395	20	Landbouw	0.60311
1	2	1	0	0	0	4	99	20	Moeras en water	0.03617
1	6	8	6	1	5	27	1428	21	Bos	1
9	26	28	22	5	10	100	4639	22	Landbouw	0.99641
1	1	2	0	0	0	4	176	22	Moeras en water	0.00359
2	21	16	18	14	4	75	3729	23	Bos	0.02186
1	7	13	7	11	12	51	2849	23	Heide en duin	0.01884
3	18	32	52	86	149	340	22368	23	Landbouw	0.8562
1	5	11	6	15	13	51	3092	23	Moeras en water	0.0154
1	1	2	4	9	37	54	3685	23	Suburbaan	0.02587
0	1	4	5	16	49	75	5308	23	Urbaan	0.06183
2	11	11	7	6	7	44	2495	24	Bos	0.01265
2	10	6	5	5	17	45	2361	24	Heide en duin	0.0164
1	18	31	43	81	174	348	23329	24	Landbouw	0.86456
0	5	7	8	13	23	56	3531	24	Moeras en water	0.01669
0	0	3	5	13	38	59	3866	24	Suburbaan	0.02788
0	1	3	2	5	65	76	5680	24	Urbaan	0.06181
1	3	0	0	1	0	5	266	25	Bos	0.0116
0	2	0	5	1	2	10	624	25	Heide en duin	0.03677
1	13	8	0	4	7	33	1546	25	Landbouw	0.827
1	1	4	4	5	4	19	1142	25	Moeras en water	0.05711
2	2	2	1	1	2	10	524	25	Suburbaan	0.04291
