analysis	parent
1	06ab77f04ff787c638131e1d939e0ced3d009a8e
1	1bda8154834cff3fdb1a5210aa399401ff9b4e18
1	2b7e130a04ee0dc36244334c84dc233f02e5c5ca
1	35f2346313b3e106273c5c858e3a81ada8dc5c32
1	4b9611c57538df421fc8ad20bc73edcd851d0385
1	51f09e596a8ab0d142d06aabf1b66139b4588f7c
1	5ce51ba202c9aacb00fa423d02f6dd103d9eb147
1	6c3e4c8b5a8d8afcc8b5bd7c30cb73510bbd9e8d
1	8dbb41151edb6bc28ac6ee115c61104326b4d7af
1	93c1f6b021fd24cc6767502cd93d27963f28a8a7
1	944481bff549770cbd609033e919f6cfaf25ee7f
1	a33f7a9aae3a6d6fc4c98892cfeda60a27358c1c
1	c84da164f9e9dd4980c88169857199677427d943
1	ccabe624b1049595430b005dae6c9b8f4afc77d5
1	d612cd9de974971bb90e592ccce666a905a1d986
1	d6c20ef57c66efc14c51cd5a0aacbab78729efce
1	fa0179145b5f06bf5a9acfd5f1e514bc891f0564
1	fb061fa077ff8b61a9b26f41d338e92c78863f72
1	ff61163996843c3f32ecfa47bff7d8ef49a22eff
2	157c45064153c22691f19f3e65c7f5fe6218361d
2	2ec1326dca3d9d1948876121a911ad7e78679ac4
2	39b770704420fba768863ddda7fa2e4d7b20d6e3
2	b074c034090c149f40ce7172bc7daa7219911839
2	b2abf3165b04470e7a0065f44ba14b1bf5b5f3ae
2	b33cc414d9bde256f6812c2402fa6fa6691f4d56
3	1445ee1f5fce02e4ba6eed43b0b7b8575f5b042a
3	419b93c8ac454701858e5d2c7d5e63c421a897d9
3	7a5357e503baae759b0adaf85c23b63c1a9f3cc7
3	7d8563cfb989a9b178e749b760f642733b4a2ebd
3	7e8e4c5a5177ca1ae094f7ec6389fbb836af3ab3
3	a388144106aec38cda24bfcf140acd7522b0683b
3	b2e80fee434775d8bd9ab7e1997d4c157bfc7b20
3	d6b5bded29aaa4de80fd2d49c31b0fe2307e15e4
3	ed0891ce6cd1f8ad7f5cc1a925a27fffec878946
3	eff321dca1752ee6fc6042a9b199e86187451fc0
3	f46dceb9d131876d1e7d13e6007d6064064fe515
3	f46f85679d46b0d0128b5878102ac3d682f41ed6
4	026c686d54bd6bd0468bc7aaf6091ecb22090fb8
4	0d91612a8b5d73374439d8b04bef61f6aec62f24
4	228cd9775676487cc2c7a057809bf21a45d9b177
4	26cbb9e1c9cde5b2d10aa8d328975176701d2ad6
4	276b27faa8ed6e9467cc9b6a71cb8347891c56f7
4	35cb6cdcd0a5a82002e240c25139897827e39b38
4	4a008884b26441c50a47609477f455508eae2541
4	4b7a12935120567ed9180874b16c74ad3f7036ad
4	4d0a1277a937896848899ff02f43baef17e4e789
4	71ddadb238c1314d4a73e511d1cf861c55ada68c
4	754f5bc15c81ec7959e84ed626011cc241b2ca5a
4	760acda6686304cfb9ff90524fb83efe37466d32
4	77cacc7006aac6002066e3efcee9371cadfe5318
4	785141d4789420abb4cb7297d8e2c579dcbaefe6
4	7d73b3424d57f9bde1e389745e0a08cf61a74b72
4	92ff2241c1ab014833453b47221e3c029742af01
4	a2b6656e7c3a7c2921cfe281b2544f145ab628d4
4	a45402677fbdbca69ca633526981d08cdefe6b45
4	a755d81e14475e1c2126d5106f534715fe9092e2
4	af01d4074af64248680d8f570340eb43c4cbea19
4	af55e9dd7f0054ae0411790cd01afba47d8ab718
4	b042301056858a788afc28cd51e2d3a0c695a5ad
4	bddebf6fae8b0c71fe2cc0ddebfb86beed788aca
4	c5a84d17ad69a4548ddbc0c4b02318f890134776
4	cb284233ca2a3b4ab2a7480f9a8aa727f3498497
4	cea9c87876570feb5145fa8926ba83d3cb87a3a9
4	dc7b4b8d91ad8faf6ef3ee0a80a4ce74bc184a07
4	e11434f47603cb7db77cd820e36ffdcc56f2284b
4	e2d30c6f2b51970f61fa5948bcf5dfc820475e81
4	e6f4d393a02df6a2cd7cc9e8b7b5ed046cf23736
4	e915bd98f67fc524ebfe2c3e70b94fe9eab5194b
5	01cbe564dbbca96e3c6ccc7d0c170e089c9bb5be
5	1043fe9554379d4144c699a43da610d3b5a9f10c
5	11bcb728e0380de14ed301f0695fe6b88b533b18
5	1974426d8a8893a026c4e0f0202744ddb7b0f35e
5	1d0f0c9d110f06f677d3cf454a00b0319dfe033e
5	24b85fedf6cf898db123a4256eed09ed4e06d263
5	2a92e56b18f6d024f6c1954ceb064a4a7b32a310
5	2ed5cf4daef1abc5d741b71c08078e164e9f65f4
5	2f3fd4929b3fd3ca9ad3855c4adfd9503d006f4b
5	2f5a47f74f4491b48cf16870973a624023856d89
5	313a76655db8bcf5f326f08fc246e271e73f7a67
5	36d0254b623bb45e1676f538d913f2644a1253a7
5	47e4c1f846fde59be2f7ed3112a3051e6a28ed83
5	4854fa538f0dfe3295b650681ab05ae07916c2db
5	5b3676b12818c65a1541c500cb3b3191bcda515b
5	5be6d130b6f41bdfa889be10889de3b36111a017
5	5da453175f0ceafd0dec251ff2e9d2a5a3b6693c
5	7042c91a60d6cc600daa7fcb169fea5311574ccc
5	79ec76b57d7648a4318e9e0e0d07ba685912b2eb
5	7cf184ee86eb9a11b9a2ba11aa9f57c21e0d799e
5	7eba520f20dcc6ebef828b878b0982763719fec9
5	838623c09fe00fa911ee31481b5ef1d9275d4d91
5	8644833b260a61dc5e210b104599aafc79a97ffd
5	895a5c8b82e451cf616e4a71d8320e37992f23e8
5	8a6d9b74d79194da38b45f9766047fea2eae99bb
5	8ac7d7b1251c2aab193ce37b85e3a6f4c13a1862
5	8e3591784462113c6f3db8229cb039196177b498
5	919b5b7551c918d93d6e215ab13b443b8e82f181
5	96c19f9a121e5d8ee67613de5ec2a9bdc6cf349b
5	96d93aed8ce75e021457dbdbdc84989b1fe54886
5	9acbfc920fa7e12fd39dd0524c5f5b8612c98cac
5	a253a2dc2e38d17ff225bd4508f7e8bd1fdb3654
5	a434f7bb76f32e394abe075bf6cb90cc9361a333
5	a80e3e0233ba390e4de8069aae00b1c0a5deb4cc
5	a837241bdd851f1745bf8d91e7c2ea6e24308643
5	ac5dad6a2f202228cd389c3cf39b5c0e5af49c68
5	ae874fd8c29e06681ac2b2d54383763d5fd52da6
5	aea77a1c39e301555d5a6987be059fe8224aa0fd
5	b188aae30cfec9b1fbb2da0dad1776e0cc3d7912
5	b8301cd56a6af53a938fb6ab056efa21748f8164
5	b8f89e4676653a64fab42d5df995a2b26f5160d3
5	badf01d6180815f5495c1a16281170ebf3aeb23e
5	bbeac8a2bb43a9a4240f3a573fc49ab4ae628ea8
5	bf196de18033c48ab42d80be060d1ef056cbda30
5	bfc4d0b0ecfb74b64c6fccee3c528f9fa39c45ca
5	c170b2496832b9e8f3182130950fcf99ad831048
5	c4fb22d816819e05447e7807f5d0c8e8be21e1f8
5	c6a50391b8c6a02ecc3f331d644c115d2bb96820
5	c6ad269d71a8422e7ea593d0e3f44ae4af493ad4
5	c97343adc272a895de21a3a8942e15d0529fe398
5	d8940d1d6713ca137be61d18d7ccd08ec36f1e4a
5	ecd72d209ffa11e40aeb8bac57bdedff8d775494
5	ecfd6a92386540bfe326fb7d3afef04f39224268
5	ef67b94c7e739b9013cdcde570d78e0d480803e8
5	f1ac8dc20a4abcc7127e4d6d3c8e0559453f03ca
5	f9e1be978691c2f3b6f384e707e3bd62084cc36f
5	fa224972f13a0e1d0fc3162de0319b528394e9fe
6	204de594de53324dd290675930f2049a8cb9a72d
6	226c102d59d1023a6a22cd1bdc4e2443c9491b00
6	284016a43c117676be2d284dae8702d1dc35c488
6	3f76c5723ef0ab1685398aa604477cff0508c9e3
6	5ae8cbdd25944197a7a449ae1ba49306cccb5a0a
6	608d6f4fa4ff726e6f8a27ee63aee1a2c32065ff
6	7267f516c6dcc231abadd0338ef0f77b3a6ba729
6	7a5357e503baae759b0adaf85c23b63c1a9f3cc7
6	8ab17742e9a021e0f05c63d2ae342744f1f925eb
6	98f93221ea99d161be930f359ccf46da46fad69e
6	a6148d692877ef21efbb9ad77efad351c947bffb
