year	location	stratum	visits
2010	5146	1	18
2013	5146	1	18
2016	5146	1	18
2009	5149	1	18
2009	5150	1	18
2009	5151	1	18
2007	5152	1	18
2010	5152	1	18
2008	5155	1	18
2013	5156	1	6
2016	5156	1	12
2019	5156	1	18
2022	5156	1	18
2010	5163	1	12
2013	5163	1	6
2018	5173	1	18
2015	5205	1	18
2018	5205	1	18
2021	5205	1	18
2009	5206	1	6
2015	5206	1	12
2018	5206	1	18
2021	5206	1	18
2009	5207	1	18
2012	5207	1	6
2015	5207	1	18
2018	5207	1	18
2008	5208	1	18
2011	5208	1	6
2014	5208	1	18
2017	5208	1	18
2020	5208	1	6
2009	5209	1	12
2007	5211	1	18
2010	5211	1	18
2013	5211	1	18
2016	5211	1	18
2019	5211	1	18
2022	5211	1	18
2007	5212	1	18
2010	5212	1	18
2013	5212	1	18
2016	5212	1	18
2019	5212	1	18
2009	5220	1	18
2015	5220	1	18
2018	5220	1	18
2021	5220	1	12
2009	5221	1	18
2015	5221	1	18
2018	5221	1	18
2021	5221	1	12
2009	5223	1	18
2018	5223	1	18
2021	5223	1	6
2009	5225	1	18
2018	5225	1	18
2021	5225	1	18
2008	5226	1	12
2011	5226	1	18
2017	5226	1	18
2020	5226	1	12
2008	5227	1	12
2011	5227	1	18
2008	5229	1	18
2011	5229	1	18
2008	5230	1	12
2011	5230	1	18
2008	5231	1	18
2011	5231	1	18
2014	5231	1	18
2017	5231	1	18
2020	5231	1	18
2023	5231	1	18
2010	5232	1	18
2013	5232	1	18
2016	5232	1	18
2019	5232	1	18
2022	5232	1	12
2009	5233	1	18
2012	5233	1	16
2015	5233	1	18
2018	5233	1	18
2021	5233	1	18
2008	5234	1	18
2011	5234	1	18
2014	5234	1	18
2017	5234	1	18
2020	5234	1	18
2023	5234	1	18
2010	5235	1	18
2013	5235	1	18
2016	5235	1	18
2019	5235	1	18
2022	5235	1	12
2009	5236	1	18
2012	5236	1	18
2015	5236	1	18
2018	5236	1	18
2021	5236	1	18
2007	5237	1	18
2010	5237	1	18
2013	5237	1	18
2007	5238	1	12
2010	5238	1	18
2013	5238	1	18
2007	5239	1	18
2011	5239	1	18
2014	5239	1	18
2015	5239	1	6
2009	5240	1	18
2012	5240	1	12
2009	5241	1	18
2012	5241	1	18
2015	5241	1	12
2009	5242	1	18
2012	5242	1	18
2007	5244	1	18
2009	5244	1	18
2012	5244	1	18
2015	5244	1	6
2008	5248	1	6
2011	5248	1	12
2014	5248	1	18
2007	5283	1	18
2010	5283	1	12
2013	5283	1	12
2016	5283	1	18
2019	5283	1	18
2022	5283	1	24
2009	5284	1	18
2012	5284	1	18
2015	5284	1	18
2018	5284	1	18
2021	5284	1	18
2007	5318	1	18
2010	5318	1	12
2009	5345	1	6
2014	5345	1	18
2017	5345	1	18
2020	5345	1	18
2023	5345	1	18
2007	5349	1	18
2010	5349	1	18
2016	5349	1	18
2019	5349	1	18
2022	5349	1	18
2008	5351	1	18
2011	5351	1	18
2017	5351	1	18
2020	5351	1	6
2021	5351	1	18
2023	5351	1	18
2008	5352	1	18
2011	5352	1	18
2017	5352	1	18
2020	5352	1	18
2008	5353	1	18
2011	5353	1	18
2014	5353	1	18
2017	5353	1	18
2020	5353	1	18
2009	5354	1	18
2012	5354	1	18
2015	5354	1	18
2018	5354	1	18
2021	5354	1	18
2018	5358	1	18
2021	5358	1	18
2008	5362	1	18
2011	5362	1	18
2008	5363	1	18
2011	5363	1	18
2008	5364	1	11
2011	5364	1	9
2014	5364	1	12
2017	5364	1	12
2020	5364	1	16
2007	5432	1	18
2007	5436	1	6
2008	5439	1	15
2011	5439	1	15
2014	5439	1	15
2017	5439	1	15
2009	5440	1	18
2012	5440	1	6
2015	5440	1	18
2018	5440	1	18
2007	5441	1	18
2010	5441	1	12
2013	5441	1	18
2016	5441	1	18
2019	5441	1	18
2007	5442	1	18
2010	5442	1	12
