analysis	estimate	lower_confidence_limit	upper_confidence_limit
1	0.0197	0.017	0.0223
2	0.009	-0.0038	0.0218
3	-0.0252	-0.03	-0.0205
4	-0.0018	-0.0071	0.0036
5	0.0064	0.0047	0.0081
6	-0.0157	-0.0545	0.0231
7	0.0383	0.0015	0.0751
8	-0.0786	-0.0832	-0.0739
9	0.0335	0.0273	0.0397
10	0.3294	0.2639	0.3949
11	-0.0435	-0.0566	-0.0304
12	0.0236	0.0171	0.0301
13	0.0639	0.0366	0.0913
14	0.01	-0.0034	0.0235
15	0.0044	0.0014	0.0074
16	0.0224	0.008	0.0368
17	0.011	0.0058	0.0162
18	0.0202	0.0152	0.0251
19	-0.0462	-0.1625	0.0701
20	0.0339	0.028	0.0397
21	-0.0748	-0.0856	-0.064
22	0.0148	0.0058	0.0238
23	-7e-04	-0.0025	0.0011
24	0.0097	-0.0397	0.0591
25	0.1005	0.082	0.119
26	-0.016	-0.0342	0.0022
27	-0.1291	-0.1585	-0.0997
28	0.0278	0.0183	0.0372
29	-0.0897	-0.1147	-0.0647
30	0.042	0.0315	0.0526
31	-0.0394	-0.0487	-0.0302
32	-0.0069	-0.0137	0
33	0.0433	0.0245	0.0621
34	-0.075	-0.1038	-0.0461
35	0.0218	0.0122	0.0313
36	0.0106	-0.0162	0.0375
37	0.0217	0.0022	0.0413
38	-0.1028	-0.1182	-0.0875
39	-0.0135	-0.0166	-0.0104
40	-0.0053	-0.0096	-9e-04
41	0.1161	0.0587	0.1734
42	-0.2059	-0.2764	-0.1353
43	-0.001	-0.0399	0.0379
44	0.0458	0.0188	0.0728
45	-0.0303	-0.0388	-0.0219
46	0.0342	-0.0159	0.0843
47	-0.0785	-0.1331	-0.0239
48	0.0375	0.034	0.0411
49	0.0556	0.0439	0.0674
50	-0.066	-0.0942	-0.0378
51	0.0545	-0.0409	0.1499
52	-0.1441	-0.2067	-0.0814
53	-0.0121	-0.0187	-0.0054
54	-0.0151	-0.0504	0.0202
55	-0.1963	-0.2834	-0.1092
56	0.0118	-3e-04	0.0239
57	0.0629	-2e-04	0.126
58	-0.0647	-0.073	-0.0564
59	0.0383	0.0275	0.0492
60	-0.1708	-0.2017	-0.1399
61	-0.2992	-0.4263	-0.1721
62	0.155	0.0679	0.2421
63	0.0519	0.0229	0.0809
64	0.0268	-0.0132	0.0667
65	-0.0476	-0.0687	-0.0265
66	0.0678	0.0393	0.0963
67	0.1078	0.0419	0.1737
68	-0.0926	-0.1074	-0.0777
69	0.0144	-0.0054	0.0343
70	-0.0081	-0.0208	0.0047
71	0.004	-0.1122	0.1203
72	0.0239	-0.0113	0.059
73	-0.0199	-0.0242	-0.0157
74	0.239	0.1779	0.3
75	0.166	0.1308	0.2012
76	0.0043	-0.0046	0.0132
77	0.0054	-0.0102	0.0209
78	0.0392	0.0198	0.0586
79	-0.1786	-0.2322	-0.125
80	-0.0149	-0.0279	-0.002
81	0.0855	0.0638	0.1072
82	-0.0255	-0.0374	-0.0136
83	-0.0592	-0.0719	-0.0464
84	-0.3088	-0.3547	-0.2629
85	-0.1326	-0.1717	-0.0934
86	-0.0216	-0.0243	-0.0188
87	0.0045	-0.0082	0.0171
88	0.0474	-0.0132	0.1079
89	-0.0751	-0.0894	-0.0609
90	0.035	-0.0113	0.0812
91	-0.0592	-0.0719	-0.0465
92	-0.1337	-0.168	-0.0994
93	0.0077	0.0029	0.0126
94	0.0361	0.0205	0.0516
95	0.0306	0.0256	0.0355
96	-0.1858	-0.2325	-0.1392
97	-0.2335	-0.2475	-0.2195
98	0.1131	0.1025	0.1236
99	-0.0345	-0.1143	0.0452
100	0.0503	0.0263	0.0743
101	-0.0412	-0.0509	-0.0315
102	0.2894	0.2359	0.3429
103	-0.0615	-0.077	-0.046
104	-0.0081	-0.0128	-0.0034
105	-0.012	-0.0612	0.0371
106	0.1378	0.1287	0.1469
107	-0.0244	-0.0627	0.0138
108	0.0774	0.0707	0.084
109	-0.023	-0.0371	-0.0089
110	0.0906	0.0758	0.1053
111	-0.0623	-0.0738	-0.0508
112	-0.0159	-0.0215	-0.0104
113	-0.0691	-0.0768	-0.0614
114	0.1143	0.0926	0.1361
115	0.0461	0.043	0.0492
116	-0.023	-0.0256	-0.0204
117	0.097	-0.0367	0.2306
118	-0.0563	-0.0756	-0.0371
119	0.0106	0.0084	0.0127
120	0.0314	-0.0485	0.1112
121	0.0293	-0.1144	0.173
122	-0.0251	-0.0601	0.01
123	0.0825	0.0609	0.1041
124	0.0051	-0.0061	0.0164
125	0.6388	0.5612	0.7164
126	0.0555	0.037	0.0739
127	-0.0352	-0.0553	-0.015
128	0.0044	-0.0095	0.0182
129	-0.0025	-0.0048	-2e-04
130	0.0087	-0.0444	0.0618
131	0.0113	0.0094	0.0133
132	-0.0969	-0.1018	-0.092
133	-0.0021	-0.0184	0.0141
134	0.0039	-0.0142	0.022
135	0.0578	0.0498	0.0657
136	-0.0404	-0.0668	-0.0139
137	-0.02	-0.0459	0.0059
138	0.027	0.0186	0.0353
139	0.068	-0.0502	0.1862
140	-0.0248	-0.0284	-0.0212
141	0.2479	0.1836	0.3121
142	0.0175	-0.0463	0.0812
143	0.0569	-0.0487	0.1625
144	-0.0208	-0.0246	-0.017
145	-0.0324	-0.0341	-0.0308
146	0.2162	0.1898	0.2425
147	-0.2749	-0.3196	-0.2303
148	-0.0073	-0.0159	0.0012
149	-0.0991	-0.1417	-0.0565
150	0.0776	0.0526	0.1026
151	-0.0161	-0.0349	0.0027
152	-0.1753	-0.2132	-0.1374
153	0.0476	-0.0496	0.1448
154	-0.0506	-0.1072	0.006
155	0.011	-0.0057	0.0277
156	0.0304	-0.0083	0.069
157	0.0054	-0.0161	0.0268
158	-0.0576	-0.0831	-0.032
159	-0.005	-0.054	0.0441
160	-0.055	-0.1571	0.0471
161	-0.1203	-0.1996	-0.041
162	-0.0244	-0.0428	-0.006
163	-0.0587	-0.0766	-0.0407
