analysis	midpoint	window	estimate	lower_confidence_limit	upper_confidence_limit
4c7f626c0ac1dc092c72c1a5b5fb909734fe0c83	2008.5	4	-0.0049	-0.0103	4e-04
4c7f626c0ac1dc092c72c1a5b5fb909734fe0c83	2009.5	4	-0.0271	-0.0327	-0.0216
4c7f626c0ac1dc092c72c1a5b5fb909734fe0c83	2010.5	4	-0.0119	-0.0182	-0.0057
4c7f626c0ac1dc092c72c1a5b5fb909734fe0c83	2009.5	6	-0.0089	-0.0125	-0.0052
50e7070c7087e7ce993c59fd71ba17db1963ca57	2009.5	6	0.0216	0.0171	0.026
50e7070c7087e7ce993c59fd71ba17db1963ca57	2010.5	6	0.0087	0.0044	0.013
50e7070c7087e7ce993c59fd71ba17db1963ca57	2011.5	6	-0.003	-0.0074	0.0013
50e7070c7087e7ce993c59fd71ba17db1963ca57	2012.5	6	-0.004	-0.0083	4e-04
50e7070c7087e7ce993c59fd71ba17db1963ca57	2013.5	6	-0.0111	-0.0155	-0.0068
50e7070c7087e7ce993c59fd71ba17db1963ca57	2014.5	6	-0.0172	-0.0216	-0.0128
50e7070c7087e7ce993c59fd71ba17db1963ca57	2015.5	6	-0.009	-0.0134	-0.0047
50e7070c7087e7ce993c59fd71ba17db1963ca57	2016.5	6	-0.0093	-0.0137	-0.0049
50e7070c7087e7ce993c59fd71ba17db1963ca57	2017.5	6	-0.0128	-0.0172	-0.0084
50e7070c7087e7ce993c59fd71ba17db1963ca57	2018.5	6	-0.0051	-0.0094	-9e-04
50e7070c7087e7ce993c59fd71ba17db1963ca57	2019.5	6	-1e-04	-0.0045	0.0043
50e7070c7087e7ce993c59fd71ba17db1963ca57	2020.5	6	5e-04	-0.0041	0.0052
50e7070c7087e7ce993c59fd71ba17db1963ca57	2012.5	12	-6e-04	-0.0024	0.0011
50e7070c7087e7ce993c59fd71ba17db1963ca57	2013.5	12	-0.0057	-0.0075	-0.0039
50e7070c7087e7ce993c59fd71ba17db1963ca57	2014.5	12	-0.0079	-0.0097	-0.0061
50e7070c7087e7ce993c59fd71ba17db1963ca57	2015.5	12	-0.0085	-0.0103	-0.0067
50e7070c7087e7ce993c59fd71ba17db1963ca57	2016.5	12	-0.0082	-0.01	-0.0063
50e7070c7087e7ce993c59fd71ba17db1963ca57	2017.5	12	-0.0078	-0.0097	-0.0058
50e7070c7087e7ce993c59fd71ba17db1963ca57	2015	17	-0.0032	-0.0044	-0.0019
584e7adc66eed7cfe7822a865eda2c4279265b03	2009.5	6	0.0071	8e-04	0.0134
584e7adc66eed7cfe7822a865eda2c4279265b03	2010.5	6	-0.0011	-0.0072	0.005
584e7adc66eed7cfe7822a865eda2c4279265b03	2011.5	6	-0.0065	-0.0125	-4e-04
584e7adc66eed7cfe7822a865eda2c4279265b03	2012.5	6	-0.0032	-0.0093	0.0028
584e7adc66eed7cfe7822a865eda2c4279265b03	2013.5	6	-0.0053	-0.0113	6e-04
584e7adc66eed7cfe7822a865eda2c4279265b03	2014.5	6	-0.0057	-0.0117	2e-04
584e7adc66eed7cfe7822a865eda2c4279265b03	2015.5	6	-0.0011	-0.0072	0.0049
584e7adc66eed7cfe7822a865eda2c4279265b03	2016.5	6	-0.0049	-0.0112	0.0013
584e7adc66eed7cfe7822a865eda2c4279265b03	2017.5	6	-0.0122	-0.0186	-0.0057
