analysis	year	estimate	lower_confidence_limit	upper_confidence_limit
1	1	-0.9119	-0.9671	-0.8567
1	2	-0.8922	-0.9462	-0.8383
1	3	-0.8726	-0.9255	-0.8197
1	4	-0.8529	-0.9049	-0.801
1	5	-0.8333	-0.8844	-0.7822
1	6	-0.8136	-0.864	-0.7633
1	7	-0.794	-0.8437	-0.7442
1	8	-0.7743	-0.8236	-0.725
1	9	-0.7547	-0.8037	-0.7057
1	10	-0.735	-0.7838	-0.6862
1	11	-0.7154	-0.7642	-0.6665
1	12	-0.6957	-0.7446	-0.6468
1	13	-0.676	-0.7253	-0.6268
1	14	-0.6564	-0.706	-0.6068
1	15	-0.6367	-0.6869	-0.5866
1	16	-0.6171	-0.6679	-0.5662
1	17	-0.5974	-0.6491	-0.5458
1	18	-0.5778	-0.6304	-0.5252
1	19	-0.5581	-0.6118	-0.5044
2	1	0.2166	0.0187	0.4146
2	2	0.2256	0.0349	0.4164
2	3	0.2347	0.0506	0.4187
2	4	0.2437	0.0656	0.4217
2	5	0.2527	0.0799	0.4255
2	6	0.2617	0.0933	0.4301
2	7	0.2707	0.1059	0.4356
2	8	0.2797	0.1175	0.442
2	9	0.2887	0.1281	0.4493
2	10	0.2978	0.1378	0.4577
2	11	0.3068	0.1464	0.4672
2	12	0.3158	0.1539	0.4776
2	13	0.3248	0.1605	0.4891
2	14	0.3338	0.1661	0.5015
2	15	0.3428	0.1709	0.5148
2	16	0.3518	0.1748	0.5289
2	17	0.3608	0.1779	0.5438
2	18	0.3699	0.1804	0.5593
2	19	0.3789	0.1822	0.5755
3	1	0.0864	-0.0105	0.1833
3	2	0.0612	-0.0338	0.1562
3	3	0.036	-0.0574	0.1294
3	4	0.0108	-0.0812	0.1027
3	5	-0.0145	-0.1052	0.0763
3	6	-0.0397	-0.1295	0.0501
3	7	-0.0649	-0.154	0.0242
3	8	-0.0901	-0.1787	-0.0015
3	9	-0.1153	-0.2037	-0.0269
3	10	-0.1406	-0.229	-0.0521
